age,employment,income,location,has_medical_aid,heard_of_nmc,nmc_products_known,nmc_impression,knows_cost,why_no_medical_aid,likelihood_to_sign_up,what_would_make_sign_up,willingness_to_pay,benefits_wanted,open_text,sentiment
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,,I have heard figures but I am not sure,,,,,Hospitalisation;Dental;Maternity cover,Too expensive ,Negative
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,"Yes, I have a good idea",Too expensive,1.0,Lower monthly cost,"N$500 - N$1,000",Doctor visits;Dental;Optical,Fear or stigma ,Neutral
31-35,Unemployed,Prefer not to say,Khomas Region,No,No,,,,Too expensive;Don’t have money ,3.0,Lower monthly cost;A recommendation from someone I trust;A promotional offer or incentive,Under N$500,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,Too expensive ,Negative
25-30,Student,Prefer not to say,Other urban area,Yes,No,None of the above,I have never heard of them,I have heard figures but I am not sure,,,,,Doctor visits;Optical;Mental health support,They think it’s expensive.,Negative
31-35,Employed part-time,"Under N$5,000",Other urban area,Yes,No,,Somewhat negative,I have heard figures but I am not sure,My employer does not offer it,3.0,A better understanding of the benefits;A recommendation from someone I trust,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Too expensive,Negative
25-30,Employed part-time,Prefer not to say,Khomas Region,Yes,Yes,Amber;Jade;Ruby,I have never heard of them,"No, I have no idea",,,,,Doctor visits;Dental;Emergency cover,It’s expensive. ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Jade,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication,It is extremely expensive to cover as an individual.,Negative
25-30,Unemployed,Prefer not to say,Khomas Region,No,No,,,"No, I have no idea",I’m unemployed ,5.0,Lower monthly cost,Under N$500,Chronic medication,Maybe because it is costly and sometimes they don’t use it.They already do not earn enough.,Neutral
Prefer not to say,Self-employed,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Ruby,Somewhat negative,"Yes, I have a good idea",,,Lower monthly cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication,Too expensive,Negative
25-30,Unemployed,Prefer not to say,Khomas Region,No,No,None of the above,,"No, I have no idea",I can’t afford ,1.0,Other,Under N$500,Hospitalisation,"Some can’t afford due to unemployment 
Others dont have a clear understanding or thyre salaries does allow",Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,Yes,Amber,Somewhat positive,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover;Mental health support;Emergency cover,Costly and they think they are healthy.,Positive
18-24,Unemployed,Prefer not to say,Rural area,Yes,No,,,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,"We can't afford it, ",Neutral
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits,"They can't afford to pay monthly  or just igno-
rant with their health. ",Neutral
18-24,Student,Prefer not to say,Khomas Region,No,Yes,Emerald,Neutral,"No, I have no idea",I have never thought about it,5.0,More flexible or customisable plan,Under N$500,Emergency cover,They are not exposed to such information yet.,Neutral
18-24,Student,"Under N$5,000",Khomas Region,Yes,Yes,None of the above,I have never heard of them,I have heard figures but I am not sure,I do not fully understand how it works,5.0,Lower monthly cost;A better understanding of the benefits,"N$500 - N$1,000",Dental;Optical;Mental health support,"It’s too expensive, and often times the benefits are limited if you can’t upgrade ",Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Maybe,,,I have heard figures but I am not sure,,,,,Doctor visits;Maternity cover;Emergency cover,It’s expensive and they hardly use it ,Negative
18-24,Employed part-time,"Under N$5,000",Other urban area,No,No,,,"No, I have no idea",My employer does not offer it,5.0,Lower monthly cost;A better understanding of the benefits;A recommendation from someone I trust;A promotional offer or incentive,Under N$500,Chronic medication;Dental;Maternity cover,"1.Some think it's not needed.
2.They can't afford.",Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,,,,,,,,Doctor visits,Medical aid pacakages too exepnsive making in impossible to save money in some cases.,Negative
25-30,Student,Prefer not to say,Other urban area,No,No,,,I have heard figures but I am not sure,I was on my mom's medical aid ,4.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Hospitalisation;Dental;Optical;Maternity cover;Emergency cover,Because they can't afford it or unemployed ,Neutral
18-24,Student,Prefer not to say,Other urban area,No,No,,,"Yes, I have a good idea",Too expensive;,1.0,Other,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Some really just can’t afford,Positive
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive,1.0,Lower monthly cost,Under N$500,Chronic medication,The cost  its too expensive and we are students we dont have money,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,No,,,"Yes, I have a good idea",,,,,Doctor visits;Dental;Mental health support,"I wouldn’t know if they avoid medical aid because the young ones I know use it,including myself.",Positive
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Dental;Optical;Mental health support;Emergency cover,"Because there is less transparency for what you are being charged when you visit a doctor, dentist, pharmacy etc. Also, some packages, especially hospital plans, get depleted very quickly with limited benefits. ",Positive
18-24,Student,Prefer not to say,Khomas Region,No,No,,,"No, I have no idea",Too expensive,1.0,A better understanding of the benefits,I would not pay for it at all,Doctor visits;Dental;Mental health support,Medical aid can be costly and they might not afford it!,Neutral
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive;I do not fully understand how it works,4.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Mental health support;Emergency cover,"No means of income, and also because there's lack of awareness when it comes to medical aid.",Neutral
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Ruby,Neutral,I have heard figures but I am not sure,,,,,Doctor visits,Unnecessary expensive ,Negative
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Ruby,Somewhat negative,"Yes, I have a good idea",,,,,Doctor visits;Maternity cover,It’s expensive ,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Dental;Optical;Emergency cover,They think it is a waste of money ,Negative
18-24,Student,"Under N$5,000",Other urban area,Yes,No,,,"No, I have no idea",,,,,Doctor visits,Its costs alot,Neutral
25-30,Self-employed,"Under N$5,000",Other urban area,No,No,,I have never heard of them,I have heard figures but I am not sure,My employer does not offer it,5.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Mental health support;Emergency cover,Since not everyone can afford and not all companies offer medical aid. ,Neutral
25-30,Employed full-time,Prefer not to say,Other urban area,Yes,Yes,Jade,Very positive,"Yes, I have a good idea",,,,,Optical,Unaffordable ,Neutral
25-30,Student,Prefer not to say,Khomas Region,No,No,,,"No, I have no idea",,1.0,My employer covering part or all of the cost,Under N$500,Doctor visits,Cause of the price,Neutral
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Emerald;Amber;Opal;Jade;Ruby,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Optical;Maternity cover;Mental health support,"I wasn’t aware that they avoid it, well I have Psemas which is super affordable but perhaps if I was working in corporate I would complain about how expensive medical aid is. I was on my moms medical aid before I started working and we had nmc but she switched to NHP saying NHP had better benefits compared to the latter. I don’t think Psemas patients have an issue, maybe youth in private, could be that some have beneficiaries and it is honestly so expensive ",Positive
25-30,Unemployed,"Under N$5,000",Other urban area,No,Yes,,,"No, I have no idea",My employer does not offer it,3.0,Lower monthly cost;My employer covering part or all of the cost;More flexible or customisable plan,Under N$500,Hospitalisation;Chronic medication;Maternity cover;Mental health support;Emergency cover,Simply because they can not afford the cost thereof.,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Emergency cover,Medical aids have become expensive and as young adults they are not affordable ,Negative
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Ruby,Neutral,"Yes, I have a good idea",,,,,Hospitalisation;Chronic medication;Optical,It’s expensive ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Maybe,,,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Optical,Because of their good health status. They are not well informed on the benefits. ,Positive
18-24,Student,Prefer not to say,Khomas Region,Yes,No,,I have never heard of them,"Yes, I have a good idea",,,,,Chronic medication;Mental health support,"Ignorance 
Lack of information ",Neutral
25-30,Unemployed,Prefer not to say,Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,I'm unemployed,1.0,Lower monthly cost,Under N$500,Doctor visits;Hospitalisation;Chronic medication,They avoid it because they deem it as too costly,Neutral
25-30,Employed full-time,"Above N$20,000",Rural area,Yes,No,,,I have heard figures but I am not sure,,,,,Chronic medication,They don’t want to be paying monthly for something they might not use in while.,Neutral
31-35,Employed full-time,"Above N$20,000",Other urban area,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Maternity cover,Lack of understanding of the benefits associated with medical aid. But primarily due to costs,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Dental;Maternity cover;Mental health support,Expense of having to pay ,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Dental;Optical;Mental health support;Emergency cover,It’s expensive. Most medical aid options cost too much for the average salary of a young Namibian. If we could build the ideal medical aid with options that suit our needs and can be adjusted for growth and lifestyle change that would be great. ,Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Rural area,Yes,No,,I have never heard of them,"Yes, I have a good idea",,,,,Hospitalisation,They can’t afford. ,Neutral
18-24,Unemployed,Prefer not to say,Other urban area,No,No,,I have never heard of them,"No, I have no idea",I do not fully understand how it works,1.0,A better understanding of the benefits,Under N$500,Hospitalisation;Maternity cover,Is too expensive ,Negative
18-24,Unemployed,"Under N$5,000",Other urban area,No,No,None of the above,Very positive,"No, I have no idea",I have never thought about it,3.0,More flexible or customisable plan,Under N$500,Doctor visits,It’s expensive ,Negative
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz Plus;Emerald;Jade,Very positive,"Yes, I have a good idea",,,,,Hospitalisation;Optical;Maternity cover,Its not affordable.,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Ruby,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical,"Perception that it is very expensive, and don’t anticipate to fall ill",Negative
25-30,Employed part-time,"Under N$5,000",Other urban area,No,No,,,I have heard figures but I am not sure,On short-term contract which does not offer medical aid,5.0,A promotional offer or incentive,"N$500 - N$1,000",Hospitalisation;Chronic medication;Mental health support,"Hospitals overcharging  patients, 
Unclear information  given by people giving medical aid",Neutral
18-24,Student,"Under N$5,000",Khomas Region,No,Yes,Topaz,I have never heard of them,I have heard figures but I am not sure,Too expensive;I use alternatives like cash or pay for health insurance,3.0,A better understanding of the benefits,"N$500 - N$1,000",Hospitalisation;Chronic medication;Emergency cover,"Mainly because of the high youth unemployment and tight budgets. Contributions can seem expensive compared to income, so priorities shift toward immediate needs rather than long-term health planning and most of us lack awareness about the long-term benefits of medical aid.
",Positive
Prefer not to say,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,None of the above,,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental,Because majority can not afford,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,Ruby,Neutral,"Yes, I have a good idea",,,,,Hospitalisation,Because they don’t get sick occasionally.,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Other urban area,Yes,Yes,Jade,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Emergency cover,"Cause they feel like it’s not a need, until something seriously happens especially if you have a child/dren you need to have medical aid.",Negative
31-35,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat negative,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Optical;Mental health support;Emergency cover,"Too expensive.
They are not well informed on how it works.",Negative
25-30,Student,"N$5,000 - N$10,000",Khomas Region,No,Maybe,None of the above,I have never heard of them,"No, I have no idea",My employer does not offer it,3.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits,Under N$500,Hospitalisation;Maternity cover;Emergency cover,Lack of knowledge ,Neutral
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,No,,,I have heard figures but I am not sure,,,,"N$1,000 - N$2,000",Doctor visits;Dental;Optical,"I’m really not sure since it’s a basic human need. Probably because they don’t want to pay, or they don’t understand the importance and benefit of having health cover.",Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Emerald;Ruby,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Maternity cover,"They probably do not know much about its benefits, and they might not afford it.",Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Amber;Jade,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Dental;Emergency cover,The don’t find it necessary because they’re generally healthy,Positive
18-24,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Topaz Plus,Very positive,"Yes, I have a good idea",,3.0,Other,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Because they can’t afford to pay for it.,Neutral
25-30,Unemployed,"Under N$5,000",Rural area,No,No,,I have never heard of them,I have heard figures but I am not sure,Too expensive,3.0,Lower monthly cost,"N$500 - N$1,000",Doctor visits,Financial issues ,Neutral
18-24,Student,"Under N$5,000",Other urban area,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Emergency cover,It’s costly for those who don’t have parents or siblings working in the government ,Neutral
25-30,Student,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",I’m still searching or looking for options that works for someone like me -unemployed student ,4.0,More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Hospitalisation;Optical;Mental health support,Because it is not fully discussed and explained and being unemployed makes it difficult to get medical aid that works for us ,Negative
18-24,Employed full-time,"Under N$5,000",Other urban area,No,No,None of the above,I have never heard of them,I have heard figures but I am not sure,I do not fully understand how it works,1.0,Lower monthly cost,Under N$500,Chronic medication,Because I don't think young Namibians take their health seriously.,Negative
18-24,Unemployed,Prefer not to say,Other urban area,No,No,,,"No, I have no idea",Too expensive,3.0,Lower monthly cost,Under N$500,Doctor visits;Maternity cover,Too expensive ,Negative
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",Too expensive,1.0,Lower monthly cost,I would not pay for it at all,Chronic medication;Dental;Emergency cover,"Due to low income have no any stable income, most of the young Namibians are unemployed and some are student ",Positive
18-24,Unemployed,"Under N$5,000",Rural area,No,No,,,I have heard figures but I am not sure,Too expensive;I do not fully understand how it works,1.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Chronic medication;Emergency cover,It's costly. Especially to the unemployed youth.,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,None of the above,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Medical aid is very expensive,Negative
18-24,Student,Prefer not to say,Khomas Region,No,Yes,Ruby,Neutral,I have heard figures but I am not sure,,1.0,Other,"N$500 - N$1,000",Hospitalisation,They avoid it because they don't fully know what a medical aid do plus they maybe  think it's really expensive and they don't understand how it works and it's benefits ,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Other urban area,Yes,No,None of the above,I have never heard of them,"Yes, I have a good idea",Too expensive,,,Under N$500,Doctor visits,Packages with better benefits ate expensive.,Neutral
31-35,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,No,,,I have heard figures but I am not sure,"I just got employed, so l am yet to start with the application ",4.0,My employer covering part or all of the cost,Under N$500,Doctor visits;Hospitalisation;Dental;Optical;Emergency cover,Due to a lack of information and understanding. ,Negative
25-30,Student,Prefer not to say,Other urban area,No,No,,,I have heard figures but I am not sure,I do not fully understand how it works,3.0,Lower monthly cost,Under N$500,Doctor visits;Optical;Emergency cover,"I think it's because they  not properly educated on it,since we have the impression that we would not afford it. ",Neutral
25-30,Unemployed,Prefer not to say,Other urban area,No,No,,,"No, I have no idea",Too expensive,1.0,My employer covering part or all of the cost;A better understanding of the benefits;A recommendation from someone I trust,"N$500 - N$1,000",Chronic medication;Emergency cover,Due to lack of income. Also due to lack of information.,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz,Very positive,"Yes, I have a good idea",Too expensive,3.0,Lower monthly cost,Under N$500,Doctor visits;Dental;Maternity cover,The best medical option is costly ,Positive
18-24,Student,"Under N$5,000",Other urban area,No,No,,,"No, I have no idea",Too expensive;I am young and healthy - I do not need it yet,5.0,A better understanding of the benefits;More flexible or customisable plan;A recommendation from someone I trust;A promotional offer or incentive,Under N$500,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,No permanent job,Neutral
18-24,Unemployed,Prefer not to say,Rural area,No,No,,,"No, I have no idea",I do not fully understand how it works,1.0,A better understanding of the benefits,Under N$500,Optical;Maternity cover;Emergency cover,They lack understand on how it works and also lack of funds.,Neutral
18-24,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Emerald,Somewhat negative,"No, I have no idea",Too expensive,4.0,Lower monthly cost;My employer covering part or all of the cost,Under N$500,Doctor visits;Dental;Maternity cover,I think it's because they think they're healthy and do not need to pay all that monthly amount when they don't actually get sick. Medical aid is very expensive and most young people are unemployed and thus cannot afford it. ,Negative
25-30,Employed part-time,"Under N$5,000",Rural area,No,No,None of the above,,I have heard figures but I am not sure,I use alternatives like cash or pay for health insurance,1.0,A better understanding of the benefits,Under N$500,Emergency cover,"Because Medical aid is a scam and irrelevant, it's a business.",Negative
25-30,Unemployed,"Under N$5,000",Other urban area,No,Yes,,,"Yes, I have a good idea",I use alternatives like cash or pay for health insurance,,,,Emergency cover,Due to financial crises ,Negative
31-35,Student,"Under N$5,000",Other urban area,No,No,,,I have heard figures but I am not sure,I am unemployed ,1.0,Lower monthly cost,Under N$500,Hospitalisation;Chronic medication;Emergency cover,Some are unemployed to afford it and some feel they don't need it as their still young and healthy.,Positive
31-35,Self-employed,"Under N$5,000",Other urban area,No,No,,,"No, I have no idea",I do not fully understand how it works,1.0,,,Doctor visits;Optical;Maternity cover,Employement is always the issue... especially for unemployed youth as not every month its certain that he or she is going to pay.,Positive
25-30,Student,"Under N$5,000",Khomas Region,No,No,,Very positive,,Too expensive;I do not fully understand how it works,2.0,Lower monthly cost,Under N$500,Doctor visits;Maternity cover;Emergency cover,Because they didn’t get more information on how it work ,Positive
18-24,Student,"Under N$5,000",Other urban area,No,Maybe,,,"No, I have no idea",I do not fully understand how it works,3.0,A better understanding of the benefits,Under N$500,Emergency cover,no clear understanding of how it works,Negative
31-35,Employed full-time,"Under N$5,000",Other urban area,No,Yes,None of the above,,I have heard figures but I am not sure,My employer does not offer it;I use alternatives like cash or pay for health insurance,1.0,Lower monthly cost;More flexible or customisable plan,Under N$500,Doctor visits;Maternity cover;Emergency cover,"I don’t think they avoid it, sometimes it could be the affordability.",Neutral
18-24,Student,"Under N$5,000",Other urban area,No,No,,,I have heard figures but I am not sure,I’m a student.,1.0,Other,"N$500 - N$1,000",Doctor visits;Dental;Optical,Most of them just can’t afford it tbh.,Positive
18-24,Student,"Under N$5,000",Rural area,No,No,,,I have heard figures but I am not sure,I have never thought about it;On short-term contract which does not offer medical aid,,Lower monthly cost;A better understanding of the benefits,Under N$500,Doctor visits,Not aware of the benefits,Negative
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",I do not fully understand how it works,3.0,A better understanding of the benefits,"N$1,000 - N$2,000",Hospitalisation,They are afraid of paying the medical bills ,Negative
18-24,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Topaz;Emerald;Ruby,Somewhat positive,"No, I have no idea",Too expensive,1.0,Lower monthly cost,Under N$500,Optical;Mental health support;Emergency cover,It’s too expensive. ,Negative
18-24,Student,"Under N$5,000",Khomas Region,Yes,Yes,None of the above,,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Optical,They want to have medical aid because because most of them are students and unemployed its almost impossible to get it,Negative
31-35,Employed full-time,"N$5,000 - N$10,000",Other urban area,No,No,,,"Yes, I have a good idea",Too expensive,,,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,They don't want to spent on medical aid,Negative
25-30,Unemployed,Prefer not to say,Rural area,No,No,,,"No, I have no idea",My employer does not offer it,1.0,Other,I would not pay for it at all,Doctor visits,Because sometimes they don’t get good medical care ,Positive
25-30,Student,"Under N$5,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,Too expensive,2.0,Lower monthly cost;My employer covering part or all of the cost;A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Hospitalisation;Dental;Mental health support,The lack of money to afford medical aid especially when there's a more affordable option.,Positive
18-24,Student,"Under N$5,000",Khomas Region,Yes,Yes,None of the above,Neutral,I have heard figures but I am not sure,,,,,Doctor visits;Optical;Mental health support,I think it is usually a result of them not being able to afford it.,Positive
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Dental;Optical;Mental health support,"most don't avoid on purpose but because they lack funds to afford medical aid, especially if they work for a company that doesn't offer medical aid or they're unemployed.",Positive
25-30,Self-employed,"Under N$5,000",Khomas Region,No,Yes,Amber,Neutral,I have heard figures but I am not sure,Too expensive,3.0,Lower monthly cost,Under N$500,Doctor visits;Dental;Optical;Emergency cover,"Lack of proper information and marketing makes it seems very expensive, not to mention after 25 one simply thinks it's another bill",Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,No,None of the above,,"No, I have no idea",I do not fully understand how it works,3.0,Other,"N$1,000 - N$2,000",Dental,Salary is little too many responsibilities ,Positive
18-24,Student,"Under N$5,000",Khomas Region,No,Yes,None of the above,Somewhat positive,I have heard figures but I am not sure,My employer does not offer it,1.0,Lower monthly cost;My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Dental;Optical;Emergency cover,They don’t understand their options ,Neutral
25-30,Employed part-time,"N$5,000 - N$10,000",Khomas Region,No,No,,,"No, I have no idea",My employer does not offer it,3.0,My employer covering part or all of the cost,Under N$500,Doctor visits;Dental;Mental health support,"Lack of information about coverage, lack of employment and ways to access coverage.",Neutral
18-24,Student,Prefer not to say,Khomas Region,No,No,,,"Yes, I have a good idea",I use alternatives like cash or pay for health insurance,1.0,Lower monthly cost,Under N$500,Doctor visits;Dental;Optical;Mental health support;Emergency cover,It’s expensive ,Negative
18-24,Self-employed,"Under N$5,000",Khomas Region,No,Yes,None of the above,Neutral,"No, I have no idea",I have never thought about it,4.0,My employer covering part or all of the cost;A better understanding of the benefits;A recommendation from someone I trust,Under N$500,Doctor visits;Chronic medication,"I don’t think they avoid it, I think most can’t afford it ",Positive
31-35,Employed full-time,"Above N$20,000",Khomas Region,No,No,None of the above,I have never heard of them,"Yes, I have a good idea",Too expensive,3.0,Lower monthly cost,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Dental;Optical;Maternity cover;Emergency cover,Costs,Neutral
31-35,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental;Optical;Mental health support;Emergency cover,Cost of medical aid ,Neutral
18-24,Self-employed,Prefer not to say,Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",,5.0,Lower monthly cost;My employer covering part or all of the cost;More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Dental;Emergency cover,Cost ,Neutral
25-30,Unemployed,"Under N$5,000",Other urban area,No,Yes,,,I have heard figures but I am not sure,I do not fully understand how it works,1.0,A better understanding of the benefits,Under N$500,Doctor visits;Maternity cover;Emergency cover,Monthly salary or earnings can't manage to pay for it.,Neutral
18-24,Unemployed,"Under N$5,000",Other urban area,No,No,,I have never heard of them,"No, I have no idea",,1.0,,Under N$500,Maternity cover,Expensive ,Negative
25-30,Employed full-time,Prefer not to say,Khomas Region,Yes,Yes,None of the above,Somewhat positive,"Yes, I have a good idea",,,,,Hospitalisation;Chronic medication;Maternity cover,Because medical aid is costly,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Ruby,Neutral,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Optical,They feel like “they don’t get sick often” so they don’t need it.,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz,,"Yes, I have a good idea",My employer does not offer it,3.0,My employer covering part or all of the cost,Under N$500,Doctor visits;Hospitalisation;Dental;Mental health support,It’s costly to obtain one ,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,None of the above,I have never heard of them,"No, I have no idea",,,,,Maternity cover,Because their charges are ridiculous and when you are going for major operations you need to top up,Positive
25-30,Employed full-time,"Above N$20,000",Other urban area,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,5.0,More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Dental;Emergency cover,Mostly because of the cost commitment.,Positive
18-24,Student,"Under N$5,000",Khomas Region,No,No,,,"Yes, I have a good idea",I do not fully understand how it works,5.0,A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,They feel like they’re a bit too pricey ,Neutral
25-30,Unemployed,Prefer not to say,Khomas Region,No,No,,,I have heard figures but I am not sure,I’m unemployed ,3.0,A better understanding of the benefits,Under N$500,Doctor visits;Hospitalisation;Emergency cover,Because we are not employed by the government and non government medical aid is expensive ,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",Too expensive,3.0,Lower monthly cost,Under N$500,Optical,Monthly cost ,Neutral
